Designator,Mid X,Mid Y,Rotation,Layer
C38,140.011036,-17.15,0.0,top
C4_8,126.501999,-83.3,90.0,top
C4_7,30.501999,-83.3,90.0,top
C4_6,126.501999,-25.3,90.0,top
C4_5,174.501999,-25.3,90.0,top
C4_4,78.501999,-83.3,90.0,top
C4_3,30.501999,-25.3,90.0,top
C4_2,174.501999,-83.3,90.0,top
C4,78.501999,-25.3,90.0,top
C40_8,30.601999,-50.5,180.0,top
C40_7,174.601999,-50.5,180.0,top
C40_6,78.601999,-108.5,180.0,top
C40_5,78.601999,-50.5,180.0,top
C40_4,174.601999,-108.5,180.0,top
C40_3,30.601999,-108.5,180.0,top
C40_2,126.601999,-50.5,180.0,top
C40,126.601999,-108.5,180.0,top
C42_8,166.401999,-53.8,90.0,top
C42_7,118.401999,-111.8,90.0,top
C42_6,70.401999,-53.8,90.0,top
C42_5,70.401999,-111.8,90.0,top
C42_4,166.401999,-111.8,90.0,top
C42_3,118.401999,-53.8,90.0,top
C42_2,22.401999,-53.8,90.0,top
C42,22.401999,-111.8,90.0,top
C43_8,166.401999,-109.0,270.0,top
C43_7,118.401999,-51.0,270.0,top
C43_6,166.401999,-51.0,270.0,top
C43_5,70.401999,-109.0,270.0,top
C43_4,22.401999,-51.0,270.0,top
C43_3,118.401999,-109.0,270.0,top
C43_2,70.401999,-51.0,270.0,top
C43,22.401999,-109.0,270.0,top
C5_8,174.601999,-32.7,270.0,top
C5_7,126.601999,-32.7,270.0,top
C5_6,30.601999,-90.7,270.0,top
C5_5,174.601999,-90.7,270.0,top
C5_4,126.601999,-90.7,270.0,top
C5_3,30.601999,-32.7,270.0,top
C5_2,78.601999,-90.7,270.0,top
C5,78.601999,-32.7,270.0,top
C6_8,173.501999,-25.3,270.0,top
C6_7,125.501999,-25.3,270.0,top
C6_6,77.501999,-25.3,270.0,top
C6_5,77.501999,-83.3,270.0,top
C6_4,173.501999,-83.3,270.0,top
C6_3,29.501999,-83.3,270.0,top
C6_2,125.501999,-83.3,270.0,top
C6,29.501999,-25.3,270.0,top
C7_8,125.501999,-23.5,270.0,top
C7_7,77.501999,-23.5,270.0,top
C7_6,173.501999,-81.5,270.0,top
C7_5,173.501999,-23.5,270.0,top
C7_4,29.501999,-23.5,270.0,top
C7_3,77.501999,-81.5,270.0,top
C7_2,29.501999,-81.5,270.0,top
C7,125.501999,-81.5,270.0,top
C8_8,78.601999,-29.3,90.0,top
C8_7,78.601999,-87.3,90.0,top
C8_6,126.601999,-29.3,90.0,top
C8_5,30.601999,-29.3,90.0,top
C8_4,126.601999,-87.3,90.0,top
C8_3,174.601999,-29.3,90.0,top
C8_2,174.601999,-87.3,90.0,top
C8,30.601999,-87.3,90.0,top
C9_8,29.501999,-38.5,270.0,top
C9_7,77.501999,-96.5,270.0,top
C9_6,173.501999,-96.5,270.0,top
C9_5,125.501999,-96.5,270.0,top
C9_4,173.501999,-38.5,270.0,top
C9_3,29.501999,-96.5,270.0,top
C9_2,125.501999,-38.5,270.0,top
C9,77.501999,-38.5,270.0,top
D1_8,139.701999,-60.7,180.0,top
D1_7,43.701999,-2.7,180.0,top
D1_6,187.701999,-2.7,180.0,top
D1_5,139.701999,-2.7,180.0,top
D1_4,91.701999,-60.7,180.0,top
D1_3,43.701999,-60.7,180.0,top
D1_2,91.701999,-2.7,180.0,top
D1,187.701999,-60.7,180.0,top
D2_8,138.001999,-66.8,180.0,top
D2_7,186.001999,-8.8,180.0,top
D2_6,42.001999,-8.8,180.0,top
D2_5,138.001999,-8.8,180.0,top
D2_4,90.001999,-66.8,180.0,top
D2_3,42.001999,-66.8,180.0,top
D2_2,186.001999,-66.8,180.0,top
D2,90.001999,-8.8,180.0,top
D3_8,43.701999,-7.5,180.0,top
D3_7,91.701999,-7.5,180.0,top
D3_6,43.701999,-65.5,180.0,top
D3_5,91.701999,-65.5,180.0,top
D3_4,187.701999,-7.5,180.0,top
D3_3,139.701999,-7.5,180.0,top
D3_2,139.701999,-65.5,180.0,top
D3,187.701999,-65.5,180.0,top
D5_8,67.001999,-81.15,90.0,top
D5_7,67.001999,-23.15,90.0,top
D5_6,115.001999,-23.15,90.0,top
D5_5,115.001999,-81.15,90.0,top
D5_4,163.001999,-81.15,90.0,top
D5_3,163.001999,-23.15,90.0,top
D5_2,19.001999,-81.15,90.0,top
D5,19.001999,-23.15,90.0,top
D6_8,89.001999,-23.15,90.0,top
D6_7,41.001999,-81.15,90.0,top
D6_6,185.001999,-23.15,90.0,top
D6_5,137.001999,-23.15,90.0,top
D6_4,185.001999,-81.15,90.0,top
D6_3,137.001999,-81.15,90.0,top
D6_2,89.001999,-81.15,90.0,top
D6,41.001999,-23.15,90.0,top
J1_8,137.701999,-31.0,90.0,top
J1_7,185.701999,-31.0,90.0,top
J1_6,137.701999,-89.0,90.0,top
J1_5,41.701999,-89.0,90.0,top
J1_4,89.701999,-89.0,90.0,top
J1_3,185.701999,-89.0,90.0,top
J1_2,41.701999,-31.0,90.0,top
J1,89.701999,-31.0,90.0,top
J10_8,89.701999,-109.0,90.0,top
J10_7,185.701999,-51.0,90.0,top
J10_6,89.701999,-51.0,90.0,top
J10_5,41.701999,-109.0,90.0,top
J10_4,185.701999,-109.0,90.0,top
J10_3,137.701999,-51.0,90.0,top
J10_2,137.701999,-109.0,90.0,top
J10,41.701999,-51.0,90.0,top
J11_8,49.001999,-103.0,270.0,top
J11_7,145.001999,-103.0,270.0,top
J11_6,49.001999,-45.0,270.0,top
J11_5,97.001999,-45.0,270.0,top
J11_4,97.001999,-103.0,270.0,top
J11_3,193.001999,-45.0,270.0,top
J11_2,145.001999,-45.0,270.0,top
J11,193.001999,-103.0,270.0,top
J12_8,145.001999,-35.0,270.0,top
J12_7,193.001999,-93.0,270.0,top
J12_6,193.001999,-35.0,270.0,top
J12_5,97.001999,-35.0,270.0,top
J12_4,49.001999,-93.0,270.0,top
J12_3,97.001999,-93.0,270.0,top
J12_2,145.001999,-93.0,270.0,top
J12,49.001999,-35.0,270.0,top
J13_8,18.301999,-51.0,270.0,top
J13_7,18.301999,-109.0,270.0,top
J13_6,162.301999,-109.0,270.0,top
J13_5,114.301999,-109.0,270.0,top
J13_4,162.301999,-51.0,270.0,top
J13_3,66.301999,-51.0,270.0,top
J13_2,66.301999,-109.0,270.0,top
J13,114.301999,-51.0,270.0,top
J14_8,194.701999,-8.7,0.0,top
